Timestamp,Soil Moisture (%),Water Level,Temperature (C),Temperature (F),Humidity (%)
1731867805,68.4229,0.120302,22,71.6,56
1731868277,0,12.2423,22,71.6,55
1731868277,0,12.2423,22,71.6,55
946684801,100,12.4544,16,60.8,69
946684801,100,12.4544,16,60.8,69
946688402,100,6.45304,16,60.8,69
946688402,100,6.45304,16,60.8,69
946692002,100,5.93881,16,60.8,69
946692002,100,5.93881,16,60.8,69
946695602,100,6.21195,16,60.8,72
946695602,100,6.21195,16,60.8,72
946699203,100,6.24094,15,59,75
946699203,100,6.24094,15,59,75
946702803,100,6.15091,14,57.2,79
946702803,100,6.15091,14,57.2,79
946706403,100,6.45304,14,57.2,83
946706403,100,6.45304,14,57.2,83
946710004,100,6.63615,13,55.4,85
946710004,100,6.63615,13,55.4,85
946713604,100,6.51407,13,55.4,87
946713604,100,6.51407,13,55.4,87
946717204,100,6.84825,12,53.6,88
946717204,100,6.84825,12,53.6,88
946720805,100,6.21195,12,53.6,89
946720805,100,6.21195,12,53.6,89
946724405,100,6.30198,11,51.8,90
946724405,100,6.30198,11,51.8,90
946728005,100,6.57511,11,51.8,90
946728005,100,6.57511,11,51.8,90
946731606,100,5.81674,12,53.6,90
946731606,100,5.81674,12,53.6,90
946735206,100,6.78721,12,53.6,90
946735206,100,6.78721,12,53.6,90
946738806,100,5.96933,12,53.6,90
946738806,100,5.96933,12,53.6,90
